CompanyName,ContactName,Location,CodeNumber,BusinessType,dba,OpenedDate,BLGLOBALENTITYEXTENSIONID,BusinessPhone,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,PREDIRECTION,STREETTYPE,POSTDIRECTION,UNITORSUITE,CITY,STATE,POSTALCODE,ISSUEDDATE,LICENSENUMBER,EXPIRATIONDATE
,DONALD ODEN,Inside City Limits,811122,Auto-Glass Replacement Shop,,1986-04-01 00:00:00.000,A5CDB9C6-1891-4107-9522-89F946E81935,5414794444,307,G,,SW,ST,," ",GRANTS PASS,OR,97526,2024-07-11 14:04:36.000,BTAX-037808-07-2024,2025-07-31 14:04:36.000
,LANCE WOODBURY,Inside City Limits,447190,Gas Station,,2018-07-12 00:00:00.000,aa2d9930-d16e-4e4e-8d1d-fd691703ae5a,5032248500,625,7TH,,NE,ST,," ",GRANTS PASS,OR,97526,2024-10-17 09:53:45.000,BTAX-039117-10-2024,2025-10-31 09:53:45.000
,JONATHAN & CARRIE  ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,1986-01-01 00:00:00.000,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1007,PACIFIC,,S,HWY,,SPACE A,TALENT,OR,97535,2025-02-28 09:53:04.000,BTAX-039959-02-2025,2026-02-28 09:53:04.000
,SARAH  EILERTSON,Inside City Limits,621112,Medical-Mental Health Specialist,,2013-12-19 00:00:00.000,7AB15D24-ECEF-4406-A210-ECDDA9F463E7,5415007111,877,7TH,,NE,ST,,,GRANTS PASS,OR,97526,2024-11-07 15:04:39.000,BTAX-039325-11-2024,2025-11-30 15:04:39.000
,JONATHAN & CARRIE  ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,1986-01-01 00:00:00.000,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1007,PACIFIC,,S,HWY,,SPACE A,TALENT,OR,97535,2025-02-28 09:53:04.000,BTAX-039959-02-2025,2026-02-28 09:53:04.000
,LANCE WOODBURY,Inside City Limits,447190,Gas Station,,1997-11-17 00:00:00.000,23DC13D3-08A5-4B8D-B045-1FAB7EF8DD19,5032248500,529,F,,NE,ST,," ",GRANTS PASS,OR,97526,2024-10-17 09:27:00.000,BTAX-039116-10-2024,2025-10-31 09:27:00.000
,JONATHAN ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,1986-01-01 00:00:00.000,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1007,PACIFIC,,S,HWY,,SPACE A,TALENT,OR,97535,2025-02-28 09:53:04.000,BTAX-039959-02-2025,2026-02-28 09:53:04.000
," ",Inside City Limits,722330,Food-Mobile/Ice Cream Truck,,2024-01-01 00:00:00.000,382f3ac9-2df4-4835-84fa-19a448505cdb,4582124133,2040,NEBRASKA,,,AVE,,,GRANTS PASS,OR,97527,2025-02-11 16:49:04.000,BTAX-039875-02-2025,2026-02-28 16:49:04.000
,MICHAEL MORAN,Inside City Limits,238190,Contractor-General/Building Exterior,,2015-06-05 00:00:00.000,2EAECEA0-0D8E-445B-A104-53954F3543E6,5416602004,1532,SCHUTZWOHL,,,LN,,,GRANTS PASS,OR,97527,2024-05-13 11:27:47.000,BTAX-037355-05-2024,2025-05-31 11:27:47.000
,MARTHA QUIROZ,Inside City Limits,722330,Food-Mobile/Ice Cream Truck,,2024-01-01 00:00:00.000,382f3ac9-2df4-4835-84fa-19a448505cdb,4582124133,2040,NEBRASKA,,,AVE,,,GRANTS PASS,OR,97527,2025-02-11 16:49:04.000,BTAX-039875-02-2025,2026-02-28 16:49:04.000
,Michael Moran,Inside City Limits,238190,Contractor-General/Building Exterior,,2015-06-05 00:00:00.000,2EAECEA0-0D8E-445B-A104-53954F3543E6,5416602004,1532,SCHUTZWOHL,,,LN,,,GRANTS PASS,OR,97527,2024-05-13 11:27:47.000,BTAX-037355-05-2024,2025-05-31 11:27:47.000
,NICK  BAIDA,Inside City Limits,812320,Dry Cleaning Services,,2006-12-01 00:00:00.000,7DFE1F9C-709F-4D82-BE36-9963FAE7A5EC,5419971608,870,D,,NE,ST,," ",GRANTS PASS,OR,97526,2024-12-12 16:03:29.000,BTAX-039504-12-2024,2025-12-31 16:03:29.000
1ST CHOICE WINDOWS DOORS & MORE INC.," ",Inside City Limits,425120,Wholesale Agent,,2016-07-18 00:00:00.000,eb2478eb-702d-40f9-a345-ae75f2d97144,5419566185,1470,M,,SE,St,,2A,GRANTS PASS,OR,97526,2024-07-26 11:34:18.000,BTAX-038138-07-2024,2025-07-31 11:34:18.000
1ST CHOICE WINDOWS DOORS & MORE INC.,"LEN FISHER, ERIK OTT",Inside City Limits,425120,Wholesale Agent,,2016-07-18 00:00:00.000,eb2478eb-702d-40f9-a345-ae75f2d97144,5419566185,1470,M,,SE,St,,2A,GRANTS PASS,OR,97526,2024-07-26 11:34:18.000,BTAX-038138-07-2024,2025-07-31 11:34:18.000
"3 BOYS CLASSIC TOWING         ",RICHY & TERESA  LUKER,Inside City Limits,488410,Towing,,1992-03-19 00:00:00.000,688989EB-44E7-48BC-B5CD-89034F69EBF1,5414793530,1537,ROGUE RIVER,," ",HWY,," ",GRANTS PASS,OR,97527,2024-07-09 14:51:43.000,BTAX-037707-07-2024,2025-07-31 14:51:43.000
"3 SEVENS TATTOO               ",JEREMY  ELLEDGE,Inside City Limits,812199,Tattoo/Piercing Shop,,2008-01-15 00:00:00.000,A76D8C40-D171-44A0-9955-D06699A0FE1E,5418909777,1312,REDWOOD,,,AVE,,B,GRANTS PASS,OR,97527,2024-07-16 15:59:14.000,BTAX-037923-07-2024,2025-07-31 15:59:14.000
"3R'S TUTORING                 ",MAUREEN  MCCARTHY,Inside City Limits,611710,Educational Support Services,,2007-07-09 00:00:00.000,421FECD8-B73F-45B2-AF9A-3ED6D694D5A2,5414412689,1210,ORIOLE,,SE,ST,," ",GRANTS PASS,OR,97526,2024-07-17 08:47:58.000,BTAX-037926-07-2024,2025-07-31 08:47:58.000
"4 PROPERTY REAL ESTATE        ",JAMES  BALL,Inside City Limits,531210,Real Estate Agents/Brokers,,2012-02-15 00:00:00.000,A951DA94-9D40-4A14-9F56-4B22519D84A7,5417614320,432,6TH,,NW,ST,," ",GRANTS PASS,OR,97526,2024-08-28 13:29:28.000,BTAX-038667-08-2024,2025-08-31 13:29:28.000
"5 STAR PEST CONTROL           ",REBECCA  BERUBEE,Inside City Limits,561710,Pest Control,,2009-04-01 00:00:00.000,AB6BD1ED-C23E-4F9F-AA32-0A7326A42EA1,5414413755,233,ROGUE RIVER,," ",HWY,,#898,GRANTS PASS,OR,97527,2024-07-10 07:52:34.000,BTAX-037734-07-2024,2025-07-31 07:52:34.000
"541 MOTORSPORTS INC           ",SPENCER  APLAND,Inside City Limits,441310,Retail-Automotive Parts & Accessories,,2014-01-01 00:00:00.000,650A031D-E05A-4297-A582-895747DADB6F,5417615431,525,F,,NW,ST,," ",GRANTS PASS,OR,97526,2025-03-12 09:25:59.000,BTAX-040047-03-2025,2026-03-31 09:25:59.000
541 PROPERTY MANAGEMENT LLC," ",Outside City Limits,531311,Property Management,,2016-07-06 00:00:00.000,1f37609a-4fc5-434c-bfce-a0fc80d6e6b7,5414761026,3098,UNIVERSITY,," ",RD,,B,GRANTS PASS,OR,97527,2024-07-15 09:39:14.000,BTAX-037848-07-2024,2025-07-31 09:39:14.000
