CompanyName,ContactName,Location,CodeNumber,BusinessType,dba,OpenedDate,BLGLOBALENTITYEXTENSIONID,BusinessPhone,ADDRESSLINE1,ADDRESSLINE2,ADDRESSLINE3,PREDIRECTION,STREETTYPE,POSTDIRECTION,UNITORSUITE,CITY,STATE,POSTALCODE,ISSUEDDATE,LICENSENUMBER,EXPIRATIONDATE
,DONALD ODEN,Inside City Limits,811122,Auto-Glass Replacement Shop,,00:00.0,A5CDB9C6-1891-4107-9522-89F946E81935,5414794444,307,G,,SW,ST,, ,GRANTS PASS,OR,97526,44:18.0,BTAX-040786-07-2025,44:18.0
,LANCE WOODBURY,Inside City Limits,447190,Gas Station,,00:00.0,aa2d9930-d16e-4e4e-8d1d-fd691703ae5a,5032248500,625,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,08:40.0,BTAX-042093-10-2025,08:40.0
,JONATHAN & CARRIE  ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,00:00.0,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1007,PACIFIC,,S,HWY,,SPACE A,TALENT,OR,97535,43:35.0,BTAX-042937-03-2026,43:35.0
,NICK  BAIDA,Inside City Limits,812320,Dry Cleaning Services,,00:00.0,7DFE1F9C-709F-4D82-BE36-9963FAE7A5EC,5419971608,870,D,,NE,ST,, ,GRANTS PASS,OR,97526,53:40.0,BTAX-042660-01-2026,53:40.0
,JONATHAN & CARRIE  ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,00:00.0,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1007,PACIFIC,,S,HWY,,SPACE A,TALENT,OR,97535,43:35.0,BTAX-042937-03-2026,43:35.0
,Stephanie Cook Thomas,Inside City Limits,522291,Finance-Consumer Lending,,00:00.0,CC2BC739-B64B-4461-AEBB-187F0C62F41E,5412267400,315,7TH,,SE,ST,,SUITE E,GRANTS PASS,OR,97526,38:34.0,BTAX-041034-07-2025,38:34.0
,JONATHAN ROBERTSON,Outside City Limits,238210,Contractor-Electrical,,00:00.0,a391fb91-1c85-46f8-9740-1bec288f1f0d,(541) 512-0530,1007,PACIFIC,,S,HWY,,SPACE A,TALENT,OR,97535,43:35.0,BTAX-042937-03-2026,43:35.0
,LANCE WOODBURY,Inside City Limits,447190,Gas Station,,00:00.0,23DC13D3-08A5-4B8D-B045-1FAB7EF8DD19,5032248500,529,F,,NE,ST,, ,GRANTS PASS,OR,97526,16:40.0,BTAX-042095-10-2025,16:40.0
,NISHA JACKSON,Inside City Limits,621498,Medical-Outpatient Care Center,ONE PEAK MEDICAL GP 7TH ST,00:00.0,47bc16ca-bd70-42b0-a924-e4cc5c7a0754,5412377420,1325,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,32:47.0,BTAX-040402-05-2025,32:47.0
,DAVID NEYLAN,Inside City Limits,522291,Finance-Consumer Lending,,00:00.0,CC2BC739-B64B-4461-AEBB-187F0C62F41E,5412267400,315,7TH,,SE,ST,,SUITE E,GRANTS PASS,OR,97526,38:34.0,BTAX-041034-07-2025,38:34.0
